md5,url,cluster
c017a5d008a6b532e59a93b4dcbffa88,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/0/1232103448751280.mp4,1
02d17109ae5d43c3e10220006fb2fd6a,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/2/1391526025719102.mp4,1
a1b6e08270109d03f5f77a14ad07e7e0,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/7/1657002305741337.mp4,1
82047b7d38da5e7d1daa0efd103ed095,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/3/1192574462938333.mp4,1
9af3a2a89a6033f4e464590773a6c9cc,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/3/1392787279299123.mp4,1
dfc3170ce6ead51f23846f47fbfc1032,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/2/1635482187859682.mp4,1
a6e3d56609b8b50593dc9f5199390df2,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/4/2081076589327064.mp4,1
bb858de676c6be0fc25363f796759470,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/0/689832410658010.mp4,1
bbfe63d4351b74b7c7ae90d2a0268a99,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/4/1187370930206884.mp4,1
5617d933734e2fdab6df089ba2c68a06,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/03/7/896304043069667.mp4,3
d6502892e4071ad51c9a90bbdc4621f5,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/7/719653897458507.mp4,1
6ff4e85baade2fbdffc84cad103bf9fd,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/0/1512454813348440.mp4,1
ce2a2bf68d3a7bfb98b3d48d14bc55cb,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/7/1583260712807217.mp4,2
1bcb146a4f4ad562c596a8ee10c26967,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/2/2494867274275192.mp4,1
323e457bead4070ef4bc379685026f94,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/9/1202400751885279.mp4,1
49de251e1123042c476ed356ec362ca2,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/1/1542088220325171.mp4,1
6b3ca2078f4595cd12beaa1fd56246b2,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/1/1163448039337521.mp4,1
fcbcff1e212fc2ca61f4b1168f08f996,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/0/1775164093192330.mp4,1
